WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Estimates Start After
193,AUS,PPPPC,Australia,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the Statistical Appendix of the October 2024 WEO, Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10277.161,11528.861,12048.886,12304.79,13390.352,14362.95,14789.269,15649.165,16594.118,17777.883,18464.628,18674.207,19395.881,20445.504,21686.656,22510.158,23559.288,24851.076,26029.247,27257.538,28405.742,29423.444,30775.856,31968.302,33805.052,35451.666,36927.939,38842.527,39748.798,40052.304,40945.169,42286.991,43915.143,44929.067,46209.162,47044.416,47969.963,49236.242,51230.51,53527.982,53803.21,60327.984,65920.116,68045.91,69970.69,72137.53,74353.64,76542.317,79008.634,81324.037,83723.843,2023
193,AUS,NGAP_NPGDP,Australia,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,Units,"See notes for:  Gross domestic product, constant prices (National currency).",1.981,3.486,1.102,-2.044,0.173,1.512,0.925,1.811,2.016,4.648,3.547,-0.112,-0.35,0.535,-0.867,-1.2,-0.927,-0.167,0.605,1.145,0.613,-0.352,0.192,-0.175,0.503,0.317,-0.19,0.878,0.425,-0.579,-0.995,-1.116,-0.161,-0.716,-0.919,-1.158,-0.849,-0.735,-0.223,-0.685,-3.351,-0.158,1.799,1.556,0.303,-0.349,-0.175,,,,,2024
193,AUS,PPPSH,Australia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the Statistical Appendix of the October 2024 WEO, Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,Units,"See notes for:  Gross domestic product, current prices (National currency).",1.152,1.173,1.167,1.133,1.153,1.174,1.165,1.176,1.174,1.186,1.159,1.122,1.033,1.054,1.075,1.068,1.069,1.076,1.097,1.107,1.086,1.088,1.103,1.096,1.085,1.069,1.043,1.035,1.033,1.06,1.033,1.023,1.029,1.018,1.01,1,0.995,0.982,0.976,0.977,0.988,0.995,1.001,0.988,0.968,0.957,0.949,0.941,0.933,0.925,0.918,2024
193,AUS,PPPEX,Australia,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the Statistical Appendix of the October 2024 WEO, Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency).",0.94,0.945,0.998,1.044,1.068,1.09,1.133,1.185,1.249,1.293,1.309,1.283,1.27,1.255,1.245,1.254,1.256,1.246,1.245,1.238,1.264,1.281,1.297,1.31,1.32,1.339,1.365,1.388,1.447,1.444,1.503,1.542,1.506,1.499,1.477,1.453,1.451,1.478,1.47,1.459,1.431,1.417,1.431,1.429,1.434,1.423,1.426,1.434,1.437,1.444,1.451,2024
193,AUS,NID_NGDP,Australia,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,Units,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2022. The base period is 2022Q3-2023Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 04/10/2025",27.141,28.899,26.504,23.064,26.736,27.245,25.558,26.396,28.839,30.151,26.394,22.759,22.723,23.918,25.881,25.193,24.783,24.756,26.29,26.295,24.947,23.457,25.218,26.75,27.215,27.832,27.086,28.195,28.335,26.932,26.309,26.841,28.449,27.087,26.448,25.915,24.739,24.371,24.296,22.699,22.478,23.49,23.928,23.981,24.667,25.05,25.249,25.376,25.492,25.617,25.694,2024
193,AUS,NGSD_NGDP,Australia,Gross national savings,"Expressed as a ratio of gross national savings in current local currency and GDP in current local currency. Gross national saving is gross disposable income less final consumption expenditure after taking account of an adjustment for pension funds. [SNA 1993] For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment.",Percent of GDP,Units,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2022. The base period is 2022Q3-2023Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 04/10/2025",21.737,20.881,18.767,16.949,20.144,18.342,17.619,20.181,25.255,25.373,22.988,18.349,19.263,21.103,21.604,20.589,21.425,21.759,21.535,20.557,21.209,21.139,21.466,21.464,21.008,21.703,21.151,21.25,24.009,22.158,23.039,23.829,23.776,23.806,23.228,21.586,20.762,21.806,21.697,22.843,24.282,25.902,24.453,23.602,22.744,21.981,21.813,21.993,22.128,22.237,22.192,2024
193,AUS,PCPI,Australia,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024. Data refer to calendar years Harmonized prices: No Base year: 2011. The base period is 2011Q3-2012Q2 Primary domestic currency: Australian dollar Data last updated: 04/10/2025,26.35,28.85,32.125,35.35,36.75,39.225,42.775,46.425,49.8,53.575,57.45,59.35,59.925,60.975,62.15,65.025,66.75,66.9,67.475,68.425,71.475,74.625,76.9,79,80.85,83,85.95,87.975,91.8,93.425,96.1,99.325,101,103.475,106.075,107.65,109.025,111.2,113.35,115.125,116.125,119.425,127.325,134.475,138.775,142.313,147.336,151.238,155.093,159.011,162.983,2024
193,AUS,PCPIPCH,Australia,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,Units,"See notes for:  Inflation, average consumer prices (Index).",10.136,9.488,11.352,10.039,3.96,6.735,9.05,8.533,7.27,7.58,7.233,3.307,0.969,1.752,1.927,4.626,2.653,0.225,0.859,1.408,4.457,4.407,3.049,2.731,2.342,2.659,3.554,2.356,4.348,1.77,2.863,3.356,1.686,2.45,2.513,1.485,1.277,1.995,1.933,1.566,0.869,2.842,6.615,5.616,3.198,2.55,3.53,2.648,2.549,2.526,2.498,2024
193,AUS,PCPIE,Australia,"Inflation, end of period consumer prices","Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.",Index,Units,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024. Data refer to calendar years Harmonized prices: No Base year: 2011. The base period is 2011Q3-2012Q2 Primary domestic currency: Australian dollar Data last updated: 04/10/2025,,,,,,,,,51.2,55.2,59,59.9,60.1,61.2,62.9,66,67.1,66.9,67.9,69.1,73.1,75.4,77.7,79.6,81.7,83.9,86.7,89.3,92.6,94.5,97,99.9,102,104.7,106.5,108.3,109.8,112.1,114,116.1,117.1,121.4,130.9,136.2,139.5,144.159,148.827,152.673,156.557,160.476,164.46,2024
193,AUS,PCPIEPCH,Australia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,Units,"See notes for:  Inflation, end of period consumer prices (Index).",,,,,,,,,,7.813,6.884,1.525,0.334,1.83,2.778,4.928,1.667,-0.298,1.495,1.767,5.789,3.146,3.05,2.445,2.638,2.693,3.337,2.999,3.695,2.052,2.646,2.99,2.102,2.647,1.719,1.69,1.385,2.095,1.695,1.842,0.861,3.672,7.825,4.049,2.423,3.34,3.238,2.585,2.544,2.503,2.483,2024
193,AUS,TM_RPCH,Australia,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Excluded items in trade: In transit; Other. Goods for repair or maintenance, goods delivered electronically, goods temporarily admitted, etc. See International Merchandise Trade, Australia: Concepts, Sources and Methods. Oil coverage: Primary or unrefined products Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 04/10/2025",4.997,10.042,5.46,-9.819,22.058,3.79,-3.149,2.516,21,21.178,-3.865,-2.597,6.853,5.161,14.287,8.794,8.008,10.433,7.276,8.195,8.036,-4.653,10.879,11.005,15.547,9.362,8.72,13.032,10.897,-9.032,16.303,10.247,6.58,-2.248,-1.396,2.319,0.6,8.207,4.948,-1.118,-12.024,5.259,13.701,6.787,5.547,2.067,2.234,2.218,2.218,2.218,2.218,2024
193,AUS,TMG_RPCH,Australia,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Excluded items in trade: In transit; Other. Goods for repair or maintenance, goods delivered electronically, goods temporarily admitted, etc. See International Merchandise Trade, Australia: Concepts, Sources and Methods. Oil coverage: Primary or unrefined products Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 04/10/2025",6.011,9.88,4.947,-12.212,22.765,5.805,-2.008,1.316,30.8,20.779,-4.298,-1.783,8.519,5.737,15.035,9.941,8.425,12.211,8.172,10.167,8.847,-4.105,13.921,11.601,14.72,9.66,9.504,11.904,10.428,-9.905,15.595,10.075,5.997,-3.409,0.028,2.773,0.303,7.829,4.265,-1.239,-2.077,9.743,6.787,0.567,4.192,2.184,2.268,2.218,2.218,2.218,2.218,2024
193,AUS,TX_RPCH,Australia,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Excluded items in trade: In transit; Other. Goods for repair or maintenance, goods delivered electronically, goods temporarily admitted, etc. See International Merchandise Trade, Australia: Concepts, Sources and Methods. Oil coverage: Primary or unrefined products Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 04/10/2025",-0.915,-3.403,8.771,-4.36,16.092,10.397,3.625,12.119,7.3,3.192,7.537,12.923,6.422,8.375,7.94,5.423,10.511,11.925,0.155,4.642,11.738,3.027,0.836,-1.201,3.864,3.353,3.394,3.309,4.665,1.922,5.61,-0.262,5.722,5.832,6.971,6.194,6.839,3.375,5.17,3.121,-9.577,-2.252,2.646,6.891,0.925,2.14,2.201,2.735,2.875,2.761,2.768,2024
193,AUS,TXG_RPCH,Australia,Volume of exports of goods,"Percent change of volume of exports of goods refers to the aggregate change in the quantities of exports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,Units,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2024 Base year: 2005. Applies to export and import deflators. Data from the authorities are based on year 2011/12 Methodology used to derive volumes: Deflation by survey-based price indexes Formula used to derive volumes: Laspeyres-type Chain-weighted: Yes, from before 1980. Annually-reweighted Trade System: General trade. General Merchandise Trade Excluded items in trade: In transit; Other. Goods for repair or maintenance, goods delivered electronically, goods temporarily admitted, etc. See International Merchandise Trade, Australia: Concepts, Sources and Methods. Oil coverage: Primary or unrefined products Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Australian dollar Data last updated: 04/10/2025",16.399,2.533,2.816,8.826,1.653,14.528,6.532,11.568,3.9,3.545,7.123,15.079,5.684,6.282,7.69,3.395,11.622,14.177,-0.732,4.449,9.961,3.575,0.786,-1.643,4.158,3.018,1.99,1.769,4.069,3.368,7.468,0.415,7.299,6.24,6.905,5.527,7.268,2.051,4.619,1.72,-4.095,0.696,0.333,1.886,0.04,1.59,2.127,2.769,2.97,2.831,2.84,2024
